Blend,Head,Type,Brand,POS,sw1,sw1_POS,sw2,sw2_POS,sw3,sw3_POS,Source,sw source,Definition,LengthDiffSyll,LengthDiffSeg,sw1_stress,sw2_stress,StressReduction,StressHypothesis,SegReduction,sw1length,sw1percent,sw1deleted,sw2length,sw2percent,sw2deleted,SegHypothesis
flimmer,both,LR,no,v,flicker,v,glimmer,v,,,Thurner (OE),,to faintly flicker,0,,1,1,0,1,1,5,0.8,1,5,0.8,1,0
flisk,both,LR,no,v,flick,v,whisk,v,,,Thurner (WE),,"to make a motion of flicking or whisking about, as an animal does with its tail",0,,1,1,0,1,0.5,4,1,0,4,0.75,1,0
floatel,2,WR,no,n,float,v,hotel,n,,,Thurner (AL),,a semi-submersible oil drilling platform fully equipped with living quarters for the workers on board. Also used to describe a cruise ship.,-1,,0,1,1,1,0.5,4,1,0,5,0.8,1,0
fluorod,2,LW,no,n,fluorescent,adj,rod,n,,,Thurner (DST),,a rod made of phosphate glass that absorbs ultraviolet light and emits orange fluorescent light,2,,0,0.5,0.5,1,0.5,9,0.444444444,5,3,1,0,1
flusticate,both,LR,no,v,fluster,v,complicate,v,,,Thurner (DS),,to confuse,-1,,1,1,0,1,1,6,0.833333333,1,9,0.555555556,4,0
flustrate,both,LR,no,v,fluster,v,frustrate,v,,,Thurner (DS),,to make or become nervous and confused,0,,1,1,0,1,1,6,0.833333333,1,8,0.875,1,1
flycycle,2,WR,no,n,fly,v,bicycle,n,,,Thurner (MBN),,"an aircraft powered entirely by muscle-power, utilizing the pedal mechanism of a bicycle to turn the aircraft's propeller",-2,,1,1,0,0,0.5,3,1,0,7,0.857142857,1,0
foggle,both,LR,no,n,fog,n,drizzle,n,,,Thurner (SOL),,weather conditions characterized by fog and light rain,-1,,1,1,0,1,0.5,3,1,0,6,0.333333333,4,0
foolosopher,both,WR,no,n,fool,n,philosopher,n,,,Thurner (DS),,a foolish person who pretends to practice philosophy,-3,,0,1,1,0,0.5,3,1,0,8,0.875,1,0
fozzle,both,LR,no,n,fog,n,drizzle,n,,,Thurner (SOL),,weather conditions characterized by fog and light rain,-1,,1,1,0,1,1,3,0.666666667,1,6,0.5,3,0
Franglais,both,LR,no,n,francais,n,anglais,n,,,Thurner (SE),,popular French words or phases which have been borrowed or adopted from English,0,,1,1,0,1,0.5,6,0.666666667,2,5,1,0,1
frarority,both,LR,no,n,fraternity,n,sorority,n,,,Thurner (DA BL),,student housing open to the emancipated of either sex. The first fratority was founded at a Kansas university in 1913 and intended to provide housing for married couples attending the school,0,,1,1,0,1,1,9,0.555555556,4,7,0.714285714,2,1
fratority,both,LR,no,n,fraternity,n,sorority,n,,,Thurner (DA BL),,student housing open to the emancipated of either sex. The first fratority was founded at a Kansas university in 1913 and intended to provide housing for married couples attending the school,0,,1,1,0,1,1,9,0.777777778,2,7,0.714285714,2,0
freezoree,2,WR,no,n,freeze,v,jamboree,n,,,Thurner (WE),,a gathering of boy scouts or girl scouts for the purpose of holding contests or exhibitions of scoutcraft held during the winter,-2,,0.5,1,0.5,1,0.5,4,1,0,7,0.428571429,4,0
Frenglish,2,LR,no,n,French,n,English,n,,,Thurner (BNE),,English which is characterized by the frequent use of French words or phrases,-1,,1,1,0,0,1,5,0.6,2,6,0.833333333,1,1
frickles,2,LR,no,n,fried,adj,pickles,n,,,Thurner (SL),,"fried pickles, a snack food popular in the southern United States",-1,,1,1,0,0,1,4,0.5,2,6,0.833333333,1,1
frustraneous,2,LR,no,adj,frustrate,v,extraneous,adj,,,Thurner (AA),,futile or useless,-2,,1,1,0,0,1,8,0.875,1,10,0.8,2,0
fuelish,2,WR,no,adj,fuel,n,foolish,adj,,,Thurner (BNE),,"carelessness in the use of gasoline or heating fuel, a word often used in public service announcements admoninishing the public to conserve non-renewable energy resources",0,,1,1,0,0,0.5,5,0.8,1,5,1,0,1
fugly,both,LW,no,adj,fat,adj,ugly,adj,,,Thurner (NTC),,fat and ugly,-1,,1,1,0,1,0.5,3,0.333333333,2,4,1,0,1
fumorist,2,LR,no,n,female,adj,humorist,n,,,Thurner,,"a female humorist or comedian, particularly one who specializes in feminist humor",-1,,1,1,0,0,1,5,0.4,3,8,0.875,1,1
Funbrella,2,WR,yes,n,fun,adj,umbrella,n,,,Thurner (BTC),KS,"children's umbrella, Playskool, Inc.",,,,,,,,,,,,,,
funch,both,LR,no,n,fuck,n,lunch,n,,,Thurner (DCS),,"slang term for a sexual liaison which has been arranged during one's lunch hour. Also known more politely as a ""matinee""",0,,1,1,0,1,1,3,0.666666667,1,4,0.75,1,1
Funcils,2,LR,yes,n,fun,adj,pencils,n,,,Thurner (BTC),KS,"writing products, Alliance Rubber Co.",,,,,,,,,,,,,,
funginert,2,WW,no,adj,fungi,n,inert,adj,,,Thurner (DNW),,"capable of resisting the growth of fungus, a characteristic similar to bacterinert",0,,1,0,1,0,0.5,5,0.8,1,4,1,0,1
fustle,both,WR,no,v,fuss,v,bustle,v,,,Thurner (WE),,to exhibit a state of restless activity or agitation,-1,,1,1,0,1,0.5,3,1,0,5,0.8,1,0
futilitarian,2,WR,no,n,futile,adj,utilitarian,n,,,Thurner (WE),,a person who engages in hopelessly futile pursuits,-4,,0,1,1,1,0.5,6,0.833333333,1,12,1,0,1
fuzzstache,2,WR,no,n,fuzz,n,mustache,n,,,Thurner (BN),,a scant wisp of hair on the upper lip of a young man who has not yet begun to shave,-1,,1,1,0,0,0.5,3,1,0,6,0.833333333,1,0
fuzzword,2,LR,no,n,fuzzy,adj,buzzword,n,,,Thurner (OED),,a deliberately confusing or imprecise term,0,,1,1,0,0,0.5,4,0.75,1,6,1,0,1
galimony,2,WW,no,n,gal,n,alimony,n,,,Thurner (BNW),,payment in lieu of alimony between estranged lesbians,-3,,1,1,0,0,0,3,1,0,7,1,0,0
galvanneal,both,LW,no,v,galvanize,v,anneal,v,,,Thurner (WE),,"to coat with an alloy of iron or steel and zinc, a process achieved by heating a surface already galvanized with zinc",1,,0.5,1,0.5,0,0.5,8,0.75,2,4,1,0,1
gamorous,2,WR,no,adj,gam,n,glamorous,adj,,,Thurner (SEL),,"descriptive of a female celebrity famous for her shapely legs, or ""gams""",-2,,1,1,0,0,0.5,3,1,0,7,0.857142857,1,0
garbarge,2,LW,no,n,garbage,n,barge,n,,,Thurner,,a barge loaded with garbage. Garbarge was coined during the summer of 1987 to describe a barge filled with garbage which left New York City and was subsequently turned away from numerous ports of entry,1,,1,0.5,0.5,0,0.5,6,0.833333333,1,4,1,0,1
garbitrageur,2,WW,no,n,garbage,n,arbitrageur,n,,,Thurner (SL),,a financial speculator who attempts to manipulate the value of stock by spreading rumors and misinformation,-2,,1,1,0,0,0.5,6,0.833333333,1,9,1,0,1
garlion,both,LR,no,n,garlic,n,onion,n,,,Thurner (WE),,"a hybrid vegetable, a pungent cross between the garlic plant and the onion",0,,1,1,0,1,1,6,0.666666667,2,5,0.6,2,0
gasid,both,WR,no,n,gas,n,acid,n,,,Thurner (JO),,"advertising coinage describing an upset stomach, as in gasid indigestion",-1,,1,1,0,1,0,3,1,0,4,1,0,0
gasohol,both,WR,no,n,gas,n,alcohol,n,,,Thurner,,fuel which is a blend of 10 percent ethanol alcohol and 90 percent gasoline,-2,,1,1,0,1,0.5,3,1,0,7,0.571428571,3,0
gasolier,2,WR,no,n,gas,n,chandelier,n,,,Thurner (WE),,a chandelier equipped with gas jets instead of candles,-2,,0,1,1,1,0.5,3,1,0,8,0.625,3,0
gaspirator,2,WR,no,n,gas,n,respirator,n,,,Thurner (DS),,"another name for a gas mask, including a pun on the word ""gasp""",-3,,1,1,0,0,0.5,3,1,0,8,0.75,2,0
gawkward,2,WR,no,adj,gawk,v,awkward,adj,,,Thurner (PBW),,clumsy or stupid,-1,,1,1,0,0,0,3,1,0,5,1,0,0
gayola,2,WR,no,n,gay,adj,payola,n,,,Thurner (DCS),,slang for the practice of paying off police officers to look the other way regarding the activities of gay clubs and bars,-2,,0.5,1,0.5,1,0.5,2,1,0,5,0.8,1,0
geriatrickster,2,WW,no,n,geriatric,adj,trickster,n,,,Thurner (DA),,an elderly person who exhibits an impish sense of humor and a fondness for practical jokes,2,,0.5,1,0.5,1,0,9,1,0,7,1,0,0
gerrymander,both,WR,no,n,Gerry,n,salamander,n,,,Thurner (WE),,"redrawing of election districts to give one political party an unfair advantage over the other. Coined in response to the convoluted boundaries resulting from the reapportionment of Essex County, MA in 1812 by governor Elbridge Gerry, gerrymander was inspired by a political cartoon depicting the district as a contorted salamander",-2,,1,0.5,0.5,1,0.5,4,1,0,9,0.555555556,4,0
Gidget,both,LR,no,n,girl,n,midget,n,,,Thurner (WO),,the name of the main character in a series of teen-oriented films,-1,,1,1,0,1,1,3,0.333333333,2,5,0.8,1,1
gimble,1,LR,no,v,gambol,v,nimble,adj,,,Thurner (STY),,to frolic nimbly; coined by Lewis Carroll,0,,1,1,0,1,1,6,0.833333333,1,6,0.833333333,1,0
Gingeraffe,2,WR,no,n,ginger,n,giraffe,n,,,Thurner (BTC),,"stuffed toy (Gund, Inc.)",0,,1,1,0,0,0,5,1,0,4,1,0,0
gingerine,both,WR,no,n,gin,n,tangerine,n,,,Thurner (BG),,"a cocktail made from gin, grapefruit juice and tangerine juice",-2,,0.5,1,0.5,0,0.5,3,1,0,7,0.714285714,2,0
ginormous,both,LR,no,adj,gigantic,adj,enormous,adj,,,Thurner (DD),,extremely large,0,,1,1,0,1,1,8,0.375,5,7,0.857142857,1,1
girlesque,2,WR,no,n,girl,n,burlesque,n,,,Thurner (WAW),,a burlesque act featuring young women; coined by Walter Winchell,-1,,0,1,1,1,0.5,3,1,0,6,0.833333333,1,0
giverous,2,WR,no,adj,give,v,generous,adj,,,Thurner (BL),,generous,-2,,1,1,0,0,0.5,3,1,0,6,0.5,3,0
glamazon,2,LW,no,n,glamor,n,Amazon,n,,,Thurner (SEL),,"a statuesque woman, particularly a well-proportioned movie actress",-1,,1,1,0,0,0.5,5,0.8,1,6,1,0,1
glassivation,2,WR,no,n,glass,n,passivation,n,,,Thurner (DST),,a process of making passive (reducting the reactivit of) silicon conductors by encapsulating them in glass,-3,,0.5,1,0.5,1,0.5,4,1,0,9,0.888888889,1,0
glime,both,LR,no,n,glaze,n,rime,n,,,Thurner (DST),,a thin coating of ice with a consistency between that of glaze and rime,0,,1,1,0,1,1,4,0.5,2,3,0.666666667,1,1
gliterary,2,WW,no,adj,glitter,n,literary,adj,,,Thurner (TM),,indicative of a literary style that is pretentious or self-promoting in tone,-2,,1,1,0,0,0,5,1,0,7,1,0,0
glitterati,2,WW,no,n,glitter,n,literati,n,,,Thurner (DCS),,"a social class composed of the wealthy and the celebrated, made conspicuous by the amount of publicity they receive in the popular press",-2,,1,1,0,0,0,5,1,0,7,1,0,0
globaloney,2,WW,no,n,global,adj,baloney,n,,,Thurner (WSC),,an unrealistical theory or program that is to be implemented on a global scale,-1,,1,1,0,0,0,6,1,0,6,1,0,0
gloriole,2,WR,no,n,glory,n,aureole,n,,,Thurner (WE),,"in religious art, the depiction of a halo or nimbus around the head or body of a sacred person",-1,,0.5,0.5,0,0,0,5,1,0,5,1,0,0
goditorium,2,WR,no,n,god,n,auditorium,n,,,Thurner (MBD),,a church,-4,,0.5,1,0.5,1,0.5,3,1,0,9,0.888888889,1,0
grandacious,both,WR,no,adj,grand,adj,gracious,adj,,,Thurner (AET),,grand in stature and highly dignified in appearance,-1,,1,1,0,1,0,5,1,0,6,1,0,0
grandificent,both,WR,no,adj,grand,adj,magnificent,adj,,,Thurner (AL),,marked by splendor and magnificence,-3,,1,1,0,1,0.5,5,1,0,11,0.818181818,2,0
grasple,2,WR,no,v,grasp,v,grapple,v,,,Thurner (OED),,to grapple,-1,,1,1,0,0,0,5,1,0,6,1,0,0
grice,both,LW,no,n,grime,n,ice,n,,,Thurner (FW),,"the dense mass of dirt, ice, and packed snow that accumulates inside the wheel wells of motor vehicles in wintertime",0,,1,1,0,1,0.5,4,0.75,1,2,1,0,1
gription,both,WR,no,n,grip,n,traction,n,,,Thurner (FW),,adhesive friction; traction,-1,,1,1,0,1,0.5,4,1,0,7,0.571428571,3,0
grismal,both,LR,no,adj,grim,adj,dismal,adj,,,Thurner (WSC),,exceedingly gloomy and miserable,-1,,1,1,0,1,0.5,4,1,0,6,0.833333333,1,0
gritch,both,LR,no,v,gripe,v,bitch,v,,,Thurner (DCS),,to nag or complain bitterly,0,,1,1,0,1,1,4,0.5,2,3,0.666666667,1,1
groceteria,both,LR,no,n,grocery,n,cafeteria,n,,,Thurner (OED),,a grocery store where customers serve themselves and pay for their groceries as they leave,-2,,1,1,0,1,0.5,6,1,0,9,0.666666667,3,0
growsy,both,LR,no,adj,grumpy,adj,drowsy,adj,,,Thurner (DA,,displaying the ill-humored demeanor of someone just awakened abruptly from a deep sleep,0,,1,1,0,1,1,6,0.5,3,5,0.8,1,1
gubbish,both,LR,no,n,garbage,n,rubbish,n,,,Thurner (SL),,incorrect or useless computer data,0,,1,1,0,1,1,6,0.5,3,5,0.8,1,1
guestage,both,LR,no,n,guest,n,hostage,n,,,Thurner,,a guest of a foreign country who is not allowed to leave,-1,,1,1,0,1,0.5,4,1,0,6,0.666666667,2,0
guestimate,both,WW,no,n,guess,n,estimate,n,,,Thurner (WE),,an estimate made with little or no supporting information,-2,,1,1,0,1,0,3,1,0,7,1,0,0
gumbacco,both,WR,no,n,gum,n,tobacco,n,,,Thurner (FW),,an unsavority combination of chewing gum and tobacco popular among professional baseball players,-2,,1,1,0,1,0.5,3,1,0,6,0.833333333,1,0
gungineer,2,WR,no,n,gun,n,engineer,n,,,Thurner (DS),,military slang for an engineer responsible for the task of mounting heavy guns,-2,,1,1,0,0,0.5,3,1,0,7,0.857142857,1,0
Gymboree,2,WR,no,n,gym,n,jamboree,n,,,Thurner (BTC),KS,"play equipment, The Gymboree Corp.",-2,,0.5,1,0.5,1,0.5,3,1,0,7,0.714285714,2,0
gyrene,both,LR,no,n,GI,n,Marine,n,,,Thurner (DAS),,a colloquial name for a United States Marine,0,,0.5,1,0.5,0,1,3,0.666666667,1,4,0.5,2,0
habitude,both,WR,no,n,habit,n,attitude,n,,,Thurner (TGP),,"a particular, habitual way of doing things",-1,,1,1,0,1,0.5,5,1,0,6,0.833333333,1,0
hain,both,LR,no,n,hail,n,rain,n,,,Thurner (TGP),,precipitation consisting of a mixture of hail and rain,0,,1,1,0,1,1,3,0.666666667,1,3,0.666666667,1,0
hamateur,both,WW,no,n,ham,n,amateur,n,,,Thurner (SOL),,an actor who compensates for inexperience by overacting,-2,,1,1,0,1,0,3,1,0,5,1,0,0
handraulic,2,WR,no,adj,hand,n,hydraulic,adj,,,Thurner (OED),,any process or operation performed by hand instead of by mechanical means,-2,,1,1,0,0,0.5,4,1,0,8,0.875,1,0
handtector,2,WR,no,n,hand,n,detector,n,,,Thurner (BAR),,a hand-held metal detector,-2,,1,1,0,0,0.5,4,1,0,7,0.857142857,1,0
hangarage,both,WW,no,n,hangar,n,garage,n,,,Thurner (OED),,a hangar that provides shelter for aircraft,0,,0.5,1,0.5,0,0.5,4,1,0,4,0.75,1,0
harmelodic,both,LW,no,adj,harmonic,adj,melodic,adj,,,Thurner (BDC),,"a style of modern music featuring extensive improvisation and utilizing a variety of keys, tempos, and instruments",0,,0,1,1,0,0.5,8,0.875,1,7,1,0,1
harmonicello,2,LW,no,n,harmonic,adj,cello,n,,,Thurner (MI),,a bowed musical instrument similar to the viola,1,,0.5,1,0.5,1,0.5,8,0.875,1,4,1,0,1
harumphrodite,2,WR,no,n,harumph,int,hermaphrodite,n,,,Thurner (OED),,slang for a hermaphrodite,-2,,1,1,0,0,0.5,6,1,0,10,0.7,3,0
Hashbury,both,LW,no,n,Haight,n,Ashbury,n,,,Thurner (DAS),,"a colloquial name for the Haight-Ashbury district of San Francisco, with an obvious reference to the drug ""hash""",-2,,1,1,0,1,0.5,3,0.333333333,2,6,1,0,1
Hawcubites,both,RR,no,n,Mohawks,n,Jacobites,n,,,Thurner (BPF),,a band of ruffians who roamed the streets of 18th century London,-1,,1,1,0,1,1,6,0.666666667,2,8,0.75,2,1
haylage,both,WR,no,n,hay,n,silage,n,,,Thurner (WE),,partially dried hay that has been stored as livestock forage,-1,,1,1,0,1,0.5,2,1,0,5,0.6,2,0
Hearphone,2,WW,yes,n,hear,v,earphone,n,,,Thurner (BTC),KS,audio devices (Technical Exhibits Corp),,,,,,,,,,,,,,
heartistic,2,WW,no,adj,heart,n,artistic,adj,,,Thurner (PBW),,characteristic of art that dwells on overly emotional or sentimental themes,-2,,1,1,0,0,0,4,1,0,8,1,0,0
heatronic,2,WR,no,adj,heat,n,electronic,adj,,,Thurner (DNW),,heated by means of an electric current,-3,,0,1,1,1,0.5,3,1,0,10,0.6,4,0
hective,both,LR,no,adj,hectic,adj,active,adj,,,Thurner (FW),,feverishly active,0,,1,1,0,1,1,6,0.833333333,1,5,0.8,1,0
hellennium,2,WR,no,n,hell,n,millennium,n,,,Thurner (AL),,"a thousand-year period in hell, the antithesis of the Christian belief that the second coming of Christ will initiate His thousand-year reign on earth",-3,,1,1,0,0,0.5,3,1,0,8,0.75,2,0
hellion,2,WR,no,n,hell,n,hallion,n,,,Thurner (WE),,"a disorderly or troublesome person, hallion being an archaic word meaning scamp or scoundrel",-1,,1,1,0,0,0.5,3,1,0,6,0.666666667,2,0
hellophone,2,WR,no,n,hello,expr,telephone,n,,,Thurner (BL),,a telephone,-1,,0,1,1,1,0.5,4,1,0,7,0.857142857,1,0
hempire,2,WW,no,n,hemp,n,empire,n,,,Thurner (DS),,a derisive name for the British Commonwealth of Nations,-2,,1,1,0,0,0,4,1,0,5,1,0,0
heredipity,both,LR,no,n,heredity,n,serendipity,n,,,Thurner (MBD),,a search of ancestral records in an effort to establish family ties that would legitimize the right to claim a legacy,-1,,0,1,1,0,1,7,0.857142857,1,11,0.636363636,4,0
herodynamics,2,WR,no,n,hero,n,aerodynamics,n,,,Thurner (TM),,a hypothetical group of laws governing the fortunes of heroic figures,-3,,1,1,0,0,0.5,4,1,0,11,0.909090909,1,0
herohotic,both,WWR,no,n,hero,n,hot,adj,erotic,adj,Thurner (DS),,a euphemism describing the genre of sexually suggestive novels that enjoyed wide popularity around the turn of the century,,,,,,,,,,,,,,
herstory,2,WR,no,n,her,pn,history,n,,,Thurner (BDC),,history written from the female point of view,-2,,1,0,1,0,0.5,2,1,0,6,0.833333333,1,0
hesiflation,both,LR,no,n,hesitation,n,inflation,n,,,Thurner (BNE),,"a period of halting, sporadic economic growth, coupled with high inflation",1,,1,1,0,1,1,9,0.888888889,1,8,0.75,2,0
hican,both,LR,no,n,hickory,n,pecan,n,,,Thurner (FO),,the hybrid of a hickory and a pecan tree,1,,0,1,1,0,1,5,0.6,2,5,0.6,2,0
himmicane,2,WR,no,n,him,pn,hurricane,n,,,Thurner (BNE),,a humorous reference to the U.S. Weather Bureau's revised policy of giving hurricanes male names on an alternating basis with female names,-2,,1,1,0,0,0.5,3,1,0,6,0.833333333,1,0
Hinglish,both,LR,no,n,Hindi,n,English,n,,,Thurner (HDC),,Hindi words or phrases borrowed from the English language,0,,1,1,0,1,0.5,5,0.4,3,6,1,0,1
hintimation,both,WW,no,n,hint,n,intimation,n,,,Thurner (FW),,a slight or indirect indication,-3,,0.5,1,0.5,0,0,4,1,0,9,1,0,0
hobohemia,2,WW,no,n,hobo,n,Bohemia,n,,,Thurner (WE),,a rundown urban district where hoboes tend to congregate,-2,,0.5,1,0.5,1,0,4,1,0,7,1,0,0
hobosexual,2,WR,no,n,hobo,n,homosexual,n,,,Thurner (JA),,a person with transient sexual habits,-3,,0.5,1,0.5,1,0.5,4,1,0,12,0.916666667,1,0
hoggerel,2,WR,no,n,hog,n,doggerel,n,,,Thurner (MBD),,vulgar songs or poetry,-2,,1,1,0,0,0.5,3,1,0,6,0.833333333,1,0
hoke,both,LR,no,n,haze,n,smoke,n,,,Thurner (FW),,a blend of haze and smoke,0,,1,1,0,1,1,3,0.333333333,2,4,0.5,2,1
hometel,2,WW,no,n,home,n,hotel,n,,,Thurner (BDC),,a hotel featuring apartment-like suites; a tourist home,-1,,0,1,1,1,0,3,1,0,5,1,0,0
homocidious,2,LR,no,adj,homicide,n,insidious,adj,,,Thurner (AL),,murderously cunning,-1,,0.5,1,0.5,1,1,7,0.857142857,1,8,0.75,2,0
homonymble,1,WW,no,n,homonym,n,nimble,adj,,,Thurner (IPE),,"a pun based upon a homonym, a word sounding the same as another, but with a different meaning",1,,0.5,1,0.5,0,0,7,1,0,6,1,0,0
Honglomerate,2,LR,no,n,Hong Kong,n,conglomerate,n,,,Thurner (JA),,a multinational corporation with its headquarters in the Far East,-2,,0.5,1,0.5,1,1,8,0.5,4,10,0.7,3,1
hoolivan,2,LW,no,n,hooligan,n,van,n,,,Thurner (OED),,"a police van equipped with cameras and video equipment, used to monitor crowd behaviour at sporting events, etc.",2,,1,0.5,0.5,0,0.5,7,0.714285714,2,3,1,0,1
horrorscope,2,WW,no,n,horror,n,horoscope,n,,,Thurner (DS),,a frightening horoscope,-1,,1,1,0,0,0.5,4,1,0,8,0.875,1,0
hozey,both,LR,no,n,honey,n,floozy,n,,,Thurner (DAS),,a woman of loose morals who is somewhat slovenly in appearance but affectionate in nature,0,,1,1,0,1,1,4,0.75,1,5,0.4,3,0
huggle,both,WR,no,v,hug,v,snuggle,v,,,Thurner (FW),,to cuddle or nestle comfortably with another,-1,,1,1,0,1,0.5,3,1,0,6,0.666666667,2,0
humalin,2,LR,no,n,human,n,insulin,n,,,Thurner (BAR),,"insulin that is effective in treating diseases of the human body, manufactured by means of genetic engineering",-1,,1,1,0,0,0.5,6,1,0,7,0.571428571,3,0
humaniac,2,WW,no,n,humane,adj,maniac,n,,,Thurner,,an overly zealous animal rights activist,-1,,1,1,0,0,0,6,1,0,6,1,0,0
humgumption,2,LW,no,n,humbug,n,gumption,n,,,Thurner (DS),,an exaggerated sense of self-importance; nonsense,0,,0.5,1,0.5,1,0.5,6,0.666666667,2,7,1,0,1
humint,2,LL,no,n,human,n,intelligence,n,,,Thurner (SL),,military slang for intelligence information gathered by humans rather than electronically,,,,,,,,,,,,,,
humiture,both,LR,no,n,humidity,n,temperature,n,,,Thurner (SEL),,a composite index that measures the effect of humidity on the human body,1,,0,1,1,0,1,9,0.555555556,4,8,0.5,4,0
huppie,both,LR,no,n,hippie,n,yuppie,n,,,Thurner (SL),,a yuppie who chooses to live an upwardly mobile and also somewhat unconventional lifestyle,0,,1,1,0,1,1,4,0.75,1,4,0.75,1,0
huskiing,2,LW,no,n,husky,n,skiing,n,,,Thurner (WO),,a winter sport in which a team of huskies pulls a person equipped with snow skis,0,,1,0,1,0,0,5,1,0,5,1,0,0
ibsenity,2,WR,no,n,Ibsen,n,obscenity,n,,,Thurner (DS),,a play dealing with distasteful or disagreeable subjects. Many of the 19th century Norwegian dramatist Henrik Ibsen's plays included realistic and often scandalous portrayals of sensitive social problems,-2,,0.5,1,0.5,1,1,5,0.8,1,8,0.875,1,1
Identikit,2,LW,yes,n,identity,n,kit,n,,,Thurner (BPF),sw1 - KS,trademark name for a means of identifying criminals by creating composite photographs which are an assemblage of individual features selected by witnesses from a variety of drawings,,,,,,,,,,,,,,
identikit,2,LW,no,n,identical,adj,kit,n,,,Thurner (WES),,"an item produced by means of routine assembly of stock materials, the result being notably stereotyped in form",3,,1,0,1,0,0.5,9,0.666666667,3,3,1,0,1
idylatry,2,WR,no,n,idyll,n,idolatry,n,,,Thurner (OE),,the worship of nature,-2,,1,0,1,0,0.5,4,1,0,8,0.875,1,0
ignostic,2,LR,no,n,ignorant,adj,agnostic,n,,,Thurner (SEL),,a person who believes there is a way of knowing the truth without empiric proof,0,,0.5,1,0.5,1,1,7,0.571428571,3,8,0.875,1,1
imagineer,2,WR,no,n,imagine,v,engineer,n,,,Thurner,,a person who undertakes the work of imagineering,0,,1,1,0,0,0.5,6,1,0,7,0.285714286,5,0
imagineering,2,WR,no,n,imagine,v,engineering,n,,,Thurner (BNE),,"engineering and design through the use of computer graphics, in which it is presumed that one's imagination represents the only limit to what can be achieved",-1,,1,1,0,0,0.5,6,1,0,9,0.444444444,5,0
immateur,2,LR,no,n,immature,adj,amateur,n,,,Thurner,,"a professional athlete whose career is characterized by outbursts of petulant, immature behavior, either during competitive events or in their personal life",0,,0,1,1,1,1,7,0.428571429,4,5,0.8,1,1
immittance,both,LR,no,n,impedance,n,admittance,n,,,Thurner (WE),,"a characteristic of instruments of transmission or measurement, the function of which is to either impede or admit that which is being transmitted or measured",0,,1,1,0,1,1,8,0.625,3,8,0.75,2,1
Immunitea,2,orth,yes,n,immunity,n,tea,n,,,Thurner (BTC),JM,herbal tea (Unitea Herbs),,,,,,,,,,,,,,
imperviable,both,LR,no,adj,impervious,adj,impermeable,adj,,,Thurner (WE),,not permeable; not allowing entrance or passage through,-1,,1,1,0,1,1,8,0.875,1,10,0.7,3,0
impittious,matrix,embed,no,adj,impetuous,adj,pity,adj,,,Thurner (IPE),sw2 - KS,in reckless haste. Used by Shakespeare in Hamlet to describe Laertes' reaction to the death of Ophelia,,,,,,,,,,,,,,
incestry,both,WR,no,n,incest,n,ancestry,n,,,Thurner,,ancestral heritage that includes incestuous conduct,-1,,1,1,0,1,0.5,6,1,0,8,0.875,1,0
Indocrat,2,LR,no,n,independent,adj,Democrat,n,,,Thurner (BL),,a member of the Democratic party who is inclined to take an independent or non-partisan stance on many issues,1,,0,1,1,1,1,11,0.454545455,6,8,0.75,2,1
Industriever,2,LR,yes,n,industry,n,retriever,n,,,Thurner (BTC),JM,"storage and retrieval systems (Kardex Systems, Inc.)",,,,,,,,,,,,,,
Indy-Yucky,both,LR,yes,n,Indiana,n,Kentucky,n,,,Thurner,,a colloquial name for the metropolitan area along the border of Kentucky and Indiana,,,,,,,,,,,,,,
infanticipate,2,WW,no,v,infant,n,anticipate,v,,,Thurner (AL),,to look forward to the birth of a child. Coined by Walkter Winchell,-2,,0.5,1,0.5,1,0.5,6,0.833333333,1,9,1,0,1
Infantoy,2,WW,yes,n,infant,n,toy,n,,,Thurner (BTC),JM,"toys (Alabe Products, Inc.)",,,,,,,,,,,,,,
Infantray,2,WW,yes,n,infant,n,tray,n,,,Thurner (BTC),JM,"nursery organizer (A-Plus Products, Inc.)",,,,,,,,,,,,,,
infernoise,2,LW,no,n,infernal,adj,noise,n,,,Thurner (TM),,an infernal amount of noise,2,,1,0.5,0.5,0,0.5,7,0.714285714,2,3,1,0,1
Inflatoy,2,LW,yes,n,inflated,adj,toy,n,,,Thurner (BTC),JM,"pre-inflated toys  (Alvimar Mfg. Co., Inc.)",,,,,,,,,,,,,,
infomaniac,2,LW,no,n,information,n,maniac,n,,,Thurner,,a person obsessed with trivial facts and information,1,,1,1,0,0,0.5,9,0.666666667,3,6,1,0,1
infomercial,2,LW,no,n,information,n,commercial,n,,,Thurner,,"a semi-documentary feature of varying length, typically shown on cable television, combining general information on a particular topic with a subtle promotional message from a commercial sponsor",1,,0,0,0,0,1,9,0.666666667,3,7,0.857142857,1,1
infopreneur,2,LR,no,n,information,n,entrepreneur,n,,,Thurner (NW),,a person engaged in the field of information technology,0,,0,1,1,1,1,9,0.666666667,3,10,0.6,4,0
informance,2,LR,no,n,informative,adj,performance,n,,,Thurner (AM),sw1 - OED,"performance art in which a spokesperson, narrator, or artist speaks to the audience about aspects of the work being presented",1,,1,1,0,0,1,10,0.7,3,9,0.777777778,2,1
informercial,2,LR,no,n,information,n,commercial,n,,,Thurner (NWD),,"a semi-documentary feature of varying length, typically shown on cable television, combining general information on a particular topic with a subtle promotional message from a commercial sponsor",1,,1,1,0,0,1,9,0.777777778,2,7,0.714285714,2,0
